nid|neighborhd|place|placecode|nbr_type|po_name|metro|country|state|statefips|county|countyfips|mcd|mcdfips|cbsa|cbsacode|cbsatype|cenlat|cenlon|color|ncs_code|release|wkt
54713|Vanderbilt|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.97919701|-95.43114144|4|40310000|1.10.2|MULTIPOLYGON(((-95.43063384 29.97791901,-95.42985984 29.97943299,-95.42987712 29.979477,-95.430438 29.97970398,-95.43150792 29.98045899,-95.43158604 29.98047501,-95.43242304 29.97950103,-95.43063384 29.97791901)))
54714|Stonefield Village|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.975415975|-95.43338694|5|40310000|1.10.2|MULTIPOLYGON(((-95.43525696 29.97609903,-95.43313404 29.97427599,-95.43295008 29.974167,-95.43252492 29.97405396,-95.43196116 29.97404397,-95.43164796 29.97412902,-95.43151692 29.97421704,-95.43446208 29.97678798,-95.43525696 29.97609903)))
54715|Saint Croix|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.975629995|-95.43933252|1|40310000|1.10.2|MULTIPOLYGON(((-95.44039884 29.974527,-95.43991284 29.97452196,-95.43821796 29.97591597,-95.43849804 29.97673803,-95.43927708 29.97666,-95.44044708 29.976624,-95.44039884 29.974527)))
54716|Cranbrook Downs|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.974455495|-95.4390465|2|40310000|1.10.2|MULTIPOLYGON(((-95.44039884 29.974527,-95.44037688 29.97359298,-95.44031604 29.97341901,-95.44024188 29.97335097,-95.43964104 29.97313101,-95.43867192 29.97299502,-95.43899592 29.97379701,-95.43769416 29.97488502,-95.43795012 29.97531801,-95.43821796 29.97591597,-95.43991284 29.97452196,-95.44039884 29.974527)))
54717|Timbers Of Cranbrook|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.97174402|-95.43309336|3|40310000|1.10.2|MULTIPOLYGON(((-95.43302388 29.97084303,-95.43125088 29.972358,-95.4315 29.97256599,-95.43170196 29.97264501,-95.434677 29.97260604,-95.43493584 29.972547,-95.43302388 29.97084303)))
54718|Rushworth Corner|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.97202302|-95.43567402|4|40000000|1.10.2|MULTIPOLYGON(((-95.435919 29.971674,-95.43566088 29.97167697,-95.43517092 29.97181098,-95.43484908 29.972025,-95.43485484 29.97206901,-95.43519216 29.97237204,-95.43532212 29.97225396,-95.43559788 29.97213498,-95.43576312 29.972115,-95.43644604 29.97217404,-95.43649896 29.97180702,-95.435919 29.971674)))
54719|Monticello On Cranbrook|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.97006048|-95.43396798|5|40310000|1.10.2|MULTIPOLYGON(((-95.43398616 29.968929,-95.43396816 29.96894502,-95.43267108 29.97013203,-95.43385404 29.97119196,-95.43484584 29.97031401,-95.43491892 29.97036801,-95.43525192 29.97008496,-95.43526488 29.97007398,-95.43398616 29.968929)))
54720|Cranbrook Augusta|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.97003402|-95.42605248|1|40310000|1.10.2|MULTIPOLYGON(((-95.42409912 29.96931501,-95.424804 29.970126,-95.42552112 29.970729,-95.42633688 29.97075303,-95.426604 29.97040302,-95.42799396 29.97042903,-95.42800584 29.96998596,-95.42694096 29.96931897,-95.42409912 29.96931501)))
54721|Cranbrook Forest|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Northwest Harris|92845|Houston-Sugar Land-Baytown, TX|26420|Metro|29.968947|-95.43231252|2|40310000|1.10.2|MULTIPOLYGON(((-95.43079512 29.96798301,-95.43108384 29.96852697,-95.43131208 29.96883297,-95.43161592 29.96917902,-95.43242916 29.96991099,-95.43382992 29.96882496,-95.433588 29.96860203,-95.43338496 29.96799399,-95.43079512 29.96798301)))
54722|Waverly Farms|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.956380975|-95.36306706|3|40310000|1.10.2|MULTIPOLYGON(((-95.367672 29.95143903,-95.36763708 29.94713298,-95.36437116 29.94720102,-95.36349096 29.94721902,-95.36330304 29.94722496,-95.36076684 29.94730398,-95.36027796 29.94731604,-95.35846212 29.94735699,-95.358537 29.95076601,-95.36005908 29.95725501,-95.35866984 29.95727004,-95.35881312 29.96193699,-95.36133996 29.96193897,-95.36258808 29.96378703,-95.35886784 29.96379297,-95.35889016 29.964528,-95.36310792 29.96451603,-95.36380488 29.96561097,-95.36406804 29.96555499,-95.36451804 29.96555796,-95.36542704 29.96562897,-95.36543496 29.96534403,-95.365458 29.95190496,-95.365458 29.95146198,-95.367672 29.95143903)))
54723|North Houston Industries|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.961487485|-95.39413434|4|40200000|1.10.2|MULTIPOLYGON(((-95.401512 29.96157303,-95.401323 29.95897599,-95.39266212 29.95913403,-95.39259012 29.95711497,-95.39009388 29.95709598,-95.38765488 29.95712604,-95.38744896 29.95705197,-95.38733196 29.95710903,-95.38725816 29.95723899,-95.38721712 29.95709004,-95.38660584 29.95710102,-95.38759908 29.96092899,-95.38882596 29.965923,-95.40166284 29.965923,-95.401512 29.96157303)))
54724|Humble Park|||S|HUMBLE|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.95253001|-95.26949244|5|40310000|1.10.2|MULTIPOLYGON(((-95.26937184 29.95204203,-95.26892292 29.95244901,-95.26952088 29.95292898,-95.26961808 29.95301799,-95.27006196 29.95260003,-95.26997304 29.952531,-95.26937184 29.95204203)))
54725|Glen Forest Estates|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.955298995|-95.4130095|1|40310000|1.10.2|MULTIPOLYGON(((-95.40833904 29.95391196,-95.408388 29.95668603,-95.41767996 29.95655004,-95.41763604 29.95599798,-95.41744416 29.95600104,-95.41636596 29.95601598,-95.41449108 29.95607898,-95.413986 29.95591203,-95.41389384 29.95518501,-95.41327212 29.95464897,-95.40833904 29.95391196)))
54726|Knobcrest Corner|||S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.955460005|-95.41692702|2|40000000|1.10.2|MULTIPOLYGON(((-95.41693512 29.95490403,-95.41633896 29.95490997,-95.41636596 29.95601598,-95.41744416 29.95600104,-95.41751508 29.95593399,-95.417496 29.95548003,-95.41694988 29.95548498,-95.41693512 29.95490403)))
54727|Central Parkway|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.952553005|-95.37669108|3|40310000|1.10.2|MULTIPOLYGON(((-95.37844104 29.95318899,-95.37842484 29.95186797,-95.37494112 29.95190298,-95.37495588 29.95313004,-95.37501888 29.95322301,-95.37508008 29.95323804,-95.37844104 29.95318899)))
54728|Southbrook|Houston|35000|S|HOUSTON|Houston, TX|USA|TX|48|Harris|48201|Houston|91835|Houston-Sugar Land-Baytown, TX|26420|Metro|29.952542025|-95.41293354|4|40310000|1.10.2|MULTIPOLYGON(((-95.41750392 29.95270704,-95.41734984 29.95259796,-95.41706796 29.95130601,-95.41185984 29.95138701,-95.41091304 29.95140303,-95.40829512 29.95144299,-95.40834804 29.953206,-95.41207908 29.95377804,-95.41757196 29.95369902,-95.41750392 29.95270704)))
